FGHz,S11dB,S11deg,S21dB,S21deg
9.85,-13.269774683658024,-2.177966665450968,-0.2095275334834124,-92.17796666545098
9.9,-10.51827728265559,-10.071232855187008,-0.40362839485889834,-100.07123285518703
9.95,-8.417846287072653,-18.018960554471516,-0.6750149092543796,-108.01896055447152
10.0,-6.767341066263297,-25.91193311977151,-1.0265154333449482,-115.91193311977152
10.05,-5.454541244933051,-33.64054786964999,-1.455748399087749,-123.64054786965
10.1,-4.406176040047408,-41.107849784588026,-1.9556211397987189,-131.10784978458804
10.15,-3.568645346400004,-48.2390410861175,-2.5156289811825667,-138.2390410861175
10.2,-2.8999684708901174,-54.98562568623949,-3.123507614884442,-144.9856256862395
10.25,-2.3662510098137677,-61.32447928586499,-3.7667739923431816,-151.324479285865
10.3,-1.939952473284223,-67.25355335725848,-4.433861691265202,-157.25355335725848
10.35,-1.5988148240597275,-72.78621601053752,-5.114771965197615,-162.78621601053754
10.4,-1.3250146755393413,-77.9457501716745,-5.801312590025085,-167.94575017167452
10.45,-1.1044078880406536,-82.760820754295,-6.487056267977706,-172.760820754295
10.5,-0.9258489867068571,-87.26214774667,-7.167145131506821,-177.26214774667
10.55,-0.7805957672701738,-91.48028768962848,-7.838034676141873,178.51971231037152
10.6,-0.6618065656882682,-95.44429107324845,-8.497234392531288,174.55570892675155
10.65,-0.5641284710800332,-99.18098757177499,-9.143074353477399,170.81901242822502
10.7,-0.48336774961652484,-102.7146889826345,-9.774508902225428,167.2853110173655
10.75,-0.41623038603334594,-106.06715190105349,-10.390958458377149,163.93284809894652
10.8,-0.36012007875008883,-109.257690122692,-10.99218563367362,160.74230987730803
10.85,-0.3129820445237903,-112.30336440087397,-11.578200126865518,157.69663559912604
10.9,-0.27318268737623946,-115.21920423502901,-12.149186754056876,154.780795764971
10.95,-0.23941701497607493,-118.01843472280156,-12.7054515778181,151.98156527719846
11.0,-0.21063736788743234,-120.712693443388,-13.247381940967957,149.287306556612
11.05,-0.18599845559727413,-123.31222982223397,-13.775417052233692,146.68777017776603
11.1,-0.16481485080082425,-125.82608394996745,-14.290026511433627,144.17391605003255
11.15,-0.14652800461119445,-128.2622444456405,-14.79169477231672,141.7377555543595
11.2,-0.1306805495313235,-130.62778637755451,-15.28091002578117,139.3722136224455
11.25,-0.11689619496835549,-132.9289909496605,-15.758156361707226,137.0710090503395
11.3,-0.10486392817252706,-135.171448925503,-16.223908354290767,134.82855107449703
11.35,-0.09432554192516757,-137.36014978104046,-16.678627432433842,132.63985021895954
11.4,-0.0850657430778763,-139.49955846689647,-17.122759559426374,130.50044153310355
11.45,-0.07690427174427557,-141.593681488211,-17.556733867895666,128.40631851178907
11.5,-0.0696895937432259,-143.64612381639498,-17.98096198687432,126.35387618360504
11.55,-0.06329382948611478,-145.66013795394352,-18.39583786556266,124.33986204605651
11.6,-0.057608658915797105,-147.63866629280903,-18.80173794889527,122.36133370719102
11.65,-0.05254200034559036,-149.5843777439245,-19.199021597653974,120.41562225607552
11.7,-0.04801530559617734,-151.499699471877,-19.588031673901405,118.500300528123
11.75,-0.04396134803331393,-153.3868444442925,-19.969095233603273,116.6131555557075
11.8,-0.04032240648392468,-155.2478353983765,-20.342524283582012,114.75216460162353
11.85,-0.037048768413553076,-157.08452573617802,-20.708616572186042,112.91547426382202
11.9,-0.03409749162038103,-158.89861778240154,-21.06765639110185,111.10138221759848
11.95,-0.03143137607676155,-160.69167877339893,-21.419915372732397,109.3083212266011
12.0,-0.029018107254662317,-162.46515489052453,-21.765653272115948,107.53484510947551
12.05,-0.02682953990411325,-164.22038360438802,-22.105118726063505,105.77961639561202
12.1,-0.024841097284861346,-165.958604557172,-22.438549984793347,104.04139544282796
12.15,-0.023031265633780416,-167.680969176916,-22.766175613321305,102.31903082308398
12.2,-0.02138116745840928,-169.3885491895795,-23.08821516128127,100.61145081042051
12.25,-0.019874200289731254,-171.08234417097046,-23.404879800912816,98.91765582902954
12.3,-0.01849572996835043,-172.76328826046947,-23.716372933639718,97.23671173953053
12.35,-0.017232829502601577,-174.432256141479,-24.022890766283325,95.56774385852101
12.4,-0.016074056124976505,-176.090068378974,-24.324622858200776,93.90993162102599
12.45,-0.015009260459552044,-177.73749619225748,-24.621752640973924,92.26250380774248
12.5,-0.014029422759934183,-179.37526573046347,-24.914457912368555,90.62473426953652
12.55,-0.013126512030711964,178.99593809053803,-25.20291130653682,88.99593809053805
12.6,-0.01229336454667194,177.375468139133,-25.48728074181053,87.37546813913305
12.65,-0.011523578853149221,175.76271196215453,-25.767729848993923,85.76271196215448
12.7,-0.010811424810697171,174.15708898404353,-26.044418380874475,84.15708898404351
12.75,-0.01015176463157655,172.5580479769055,-26.317502605608183,82.55804797690554
12.8,-0.009539984182643828,170.96506477198102,-26.58713568550858,80.96506477198103
12.85,-0.008971933096908954,169.377640186562,-26.853468043083414,79.37764018656196
12.9,-0.008443872459985029,167.795298143544,-27.116647716109462,77.79529814354396
12.95,-0.007952429024731858,166.21758396352155,-27.37682070350296,76.21758396352158
13.0,-0.007494555063953507,164.6440628117175,-27.634131303699775,74.64406281171748
13.05,-0.007067493102344485,163.07431828408596,-27.88872244729867,73.07431828408596
13.1,-0.006668744879591723,161.50795111874652,-28.14073602569579,71.50795111874646
13.15,-0.006296043989797386,159.94457802046102,-28.390313217372825,69.94457802046107
13.2,-0.005947331721076846,158.38383058725302,-28.63759481370327,68.38383058725303
13.25,-0.00562073568637839,156.825354329493,-28.882721545854743,66.82535432949301
13.3,-0.005314550892923114,155.2688077728095,-29.12583441470374,65.26880777280954
13.35,-0.005027222946255883,153.7138616371485,-29.367075025425585,63.71386163714854
13.4,-0.004757333126030555,152.1601980851435,-29.606585928553642,62.16019808514344
