Freq (GHz),s11dB,s11phs,s21db,s21phs
3.318,2.12152E-14,74.14209481,-36.48560119,-18.90911564
3.337,-3.56801E-14,73.49896116,-36.40001745,-19.48356457
3.356,7.71462E-15,72.85580729,-36.31453487,-20.05849508
3.375,-3.27871E-14,72.2126392,-36.2291496,-20.63392095
3.394,-3.85731E-15,71.56946252,-36.14385778,-21.20985567
3.413,-2.12152E-14,70.92628258,-36.05865559,-21.78631249
3.432,-1.92865E-14,70.28310436,-35.97353918,-22.36330439
3.451,-3.08585E-14,69.63993251,-35.88850473,-22.94084411
3.47,3.47158E-14,68.99677133,-35.80354844,-23.51894416
3.489,1.35006E-14,68.35362482,-35.7186665,-24.0976168
3.508,3.47158E-14,67.71049661,-35.63385509,-24.67687407
3.527,3.85731E-14,67.06739005,-35.54911044,-25.25672779
3.546,1.35006E-14,66.42430812,-35.46442874,-25.83718955
3.565,2.70012E-14,65.7812535,-35.37980623,-26.41827074
3.584,-6.75029E-15,65.13822854,-35.2952391,-26.99998254
3.603,3.47158E-14,64.49523528,-35.21072361,-27.58233592
3.622,9.64327E-15,63.85227542,-35.12625596,-28.16534166
3.641,1.92865E-15,63.20935036,-35.04183239,-28.74901034
3.66,1.54292E-14,62.56646119,-34.95744915,-29.33335236
3.679,3.66444E-14,61.92360867,-34.87310245,-29.91837793
3.698,-7.71462E-15,61.28079326,-34.78878855,-30.50409708
3.717,-1.15719E-14,60.63801512,-34.70450369,-31.09051968
3.736,-2.41082E-14,59.99527409,-34.62024409,-31.6776554
3.755,5.78596E-15,59.35256972,-34.53600602,-32.26551378
3.774,-1.54292E-14,58.70990126,-34.45178569,-32.85410417
3.793,1.54292E-14,58.06726764,-34.36757936,-33.44343576
3.812,-4.82164E-15,57.42466753,-34.28338327,-34.03351762
3.831,-5.78596E-15,56.78209928,-34.19919365,-34.62435863
3.85,2.50725E-14,56.13956095,-34.11500674,-35.21596754
3.869,-3.08585E-14,55.49705033,-34.03081877,-35.80835296
3.888,-3.08585E-14,54.85456491,-33.94662597,-36.40152337
3.907,-1.44649E-14,54.21210189,-33.86242457,-36.99548709
3.926,-3.47158E-14,53.56965821,-33.77821079,-37.59025232
3.945,-2.21795E-14,52.9272305,-33.69398085,-38.18582714
3.964,2.12152E-14,52.28481516,-33.60973097,-38.7822195
3.983,-7.71462E-15,51.64240826,-33.52545736,-39.37943723
